TTL,IP,RTT(prom),Location
1,181.167.64.1,-32.2890281677 ms,Argentina:Buenos Aires
5,200.89.165.49,-93.7519073486 ms,Argentina
6,200.89.165.250,-887.054920197 ms,Argentina
7,159.63.23.5,-779.194116592 ms,United States
8,67.16.148.102,-663.649082184 ms,United States
9,4.68.111.121,-610.487937927 ms,United States
10,4.69.138.123,-598.365068436 ms,United States
12,4.69.134.21,-587.558031082 ms,United States
13,4.69.132.77,-613.280057907 ms,United States
14,4.69.148.202,-525.022029877 ms,United States
15,4.69.148.109,-478.667020798 ms,United States
16,4.69.148.138,-430.932998657 ms,United States
17,4.69.153.6,-542.751073837 ms,United States
18,4.69.152.80,-604.183912277 ms,United States
19,4.53.208.110,-583.826065063 ms,United States
20,205.204.119.82,-595.546007156 ms,United States:Santa Clara
21,205.204.96.36,163.182973862 ms,United States:Santa Clara
22,205.204.96.36,-29.3650627136 ms,United States:Santa Clara
23,205.204.96.36,-203.315973282 ms,United States:Santa Clara
24,205.204.96.36,-396.275997162 ms,United States:Santa Clara
25,205.204.96.36,-402.900934219 ms,United States:Santa Clara
