IP-Lugar RTT Relativo
192.168.1.1-* 4.37887977151 ms
190.245.25.1-ARG 111.541067853 ms
200.89.164.141-ARG 12.6472473145 ms
200.89.165.150-ARG 32.6569437981 ms
195.22.220.130-Italy 5.33522367477 ms
89.221.40.131-Italy 154.406905174 ms
89.221.35.186-Italy 21.2301850319 ms
61.14.157.93-Japan 97.1809506416 ms
61.14.158.51-Japan 25.1567721367 ms
61.14.158.61-Japan -14.4997596741 ms
203.192.150.2-Asia 9.55945253372 ms
180.145.255.130-Japan 7.830286026 ms
180.145.253.94-Japan 20.8847284317 ms
218.228.247.78-Japan -34.7637653351 ms
124.248.144.41-Japan -2.56080627441 ms
124.248.144.205-Japan 101.262441803 ms
210.134.52.222-Japan -66.4505159154 ms
153.127.246.13-Japan -27.3126244545 ms
153.127.247.190-Japan 8.97830724716 ms
