TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,3.74987721443 ms,3.74987721443 ms,-0.294192450162,2014-07-15 11:42,*
2,190.245.25.1,19.4438695908 ms,15.6939923763 ms,-0.0336452836499,2014-07-15 11:42,Argentina
6,200.89.164.141,17.0051217079 ms,-2.43874788284 ms,-0.429190205278,2014-07-15 11:42,Argentina
7,200.89.165.150,17.9165244102 ms,0.911402702332 ms,-0.356110514524,2014-07-15 11:42,Argentina
8,195.22.220.130,21.8137145042 ms,3.89719009399 ms,-0.290978988734,2014-07-15 11:42,Italy
9,89.221.40.131,207.880294323 ms,186.066579819 ms,3.68283721068,2014-07-15 11:42,Italy
10,89.221.35.186,214.749729633 ms,6.86943531036 ms,-0.226142869959,2014-07-15 11:42,Italy
11,61.14.157.93,315.633738041 ms,100.884008408 ms,1.82467716144,2014-07-15 11:42,Japan
12,61.14.158.51,326.649522781 ms,11.0157847404 ms,-0.135695015033,2014-07-15 11:42,Japan
13,61.14.158.61,324.01124239 ms,-2.63828039169 ms,-0.433542777997,2014-07-15 11:42,Japan
14,203.192.150.2,325.588095188 ms,1.57685279846 ms,-0.341594484274,2014-07-15 11:42,Asia/Pacific Region
15,180.145.255.130,322.848808765 ms,-2.73928642273 ms,-0.435746108661,2014-07-15 11:42,Japan:Osaka
16,180.145.253.94,326.363015175 ms,3.51420640945 ms,-0.299333338343,2014-07-15 11:42,Japan:Osaka
17,218.228.247.78,321.682345867 ms,-4.68066930771 ms,-0.478095148581,2014-07-15 11:42,Japan
18,124.248.144.41,330.128586292 ms,8.44624042511 ms,-0.191746675748,2014-07-15 11:42,Japan
19,124.248.144.205,322.906601429 ms,-7.22198486328 ms,-0.533531031293,2014-07-15 11:42,Japan
20,210.134.52.222,334.022879601 ms,11.1162781715 ms,-0.133502866149,2014-07-15 11:42,Japan
21,153.127.246.13,329.180902905 ms,-4.84197669559 ms,-0.481613884149,2014-07-15 11:42,Japan:Tokyo
22,153.127.247.190,327.491104603 ms,-1.68979830212 ms,-0.412852729586,2014-07-15 11:42,Japan:Tokyo
