IP-Lugar RTT Relativo
192.168.1.1-* 3.74987721443 ms
190.245.25.1-ARG 15.6939923763 ms
200.89.164.141-ARG -2.43874788284 ms
200.89.165.150-ARG 0.911402702332 ms
195.22.220.130-Italy 3.89719009399 ms
89.221.40.131-Italy 186.066579819 ms
89.221.35.186-Italy 6.86943531036 ms
61.14.157.93-Japan 100.884008408 ms
61.14.158.51-Japan 11.0157847404 ms
61.14.158.61-Japan -2.63828039169 ms
203.192.150.2-Asia/Pacific 1.57685279846 ms
180.145.255.130-Japan:Osaka -2.73928642273 ms
180.145.253.94-Japan:Osaka 3.51420640945 ms
218.228.247.78-Japan -4.68066930771 ms
124.248.144.41-Japan 8.44624042511 ms
124.248.144.205-Japan -7.22198486328 ms
210.134.52.222-Japan 11.1162781715 ms
153.127.246.13-Japan:Tokyo -4.84197669559 ms
153.127.247.190-Japan:Tokyo -1.68979830212 ms
