IP-Lugar ZRTT
192.168.1.1-* -0.294192450162
190.245.25.1-ARG -0.0336452836499
200.89.164.141-ARG -0.429190205278
200.89.165.150-ARG -0.356110514524
195.22.220.130-Italy -0.290978988734
89.221.40.131-Italy 3.68283721068
89.221.35.186-Italy -0.226142869959
61.14.157.93-Japan 1.82467716144
61.14.158.51-Japan -0.135695015033
61.14.158.61-Japan -0.433542777997
203.192.150.2-Asia/Pacific -0.341594484274
180.145.255.130-Japan:Osaka -0.435746108661
180.145.253.94-Japan:Osaka -0.299333338343
218.228.247.78-Japan -0.478095148581
124.248.144.41-Japan -0.191746675748
124.248.144.205-Japan -0.533531031293
210.134.52.222-Japan -0.133502866149
153.127.246.13-Japan:Tokyo -0.481613884149
153.127.247.190-Japan:Tokyo -0.412852729586
