TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,3.89574468136 ms,3.89574468136 ms,-0.397745899903,2014-07-15 11:35,*
2,190.245.25.1,15.3007745743 ms,11.4050298929 ms,-0.343778553071,2014-07-15 11:35,Argentina
6,200.89.165.13,16.6796326637 ms,1.37885808945 ms,-0.415834131714,2014-07-15 11:35,Argentina
7,200.89.165.2,16.1038756371 ms,-0.575757026672 ms,-0.429881459645,2014-07-15 11:35,Argentina
8,200.89.165.86,19.2112088203 ms,3.10733318329 ms,-0.403412015327,2014-07-15 11:35,Argentina
9,195.22.220.174,21.3767766953 ms,2.16556787491 ms,-0.410180246071,2014-07-15 11:35,Italy
10,89.221.34.255,270.991384983 ms,249.614608288 ms,1.36817385969,2014-07-15 11:35,Italy
11,195.22.214.27,263.068211079 ms,-7.92317390442 ms,-0.482685499416,2014-07-15 11:35,Italy
12,95.167.93.6,401.302981377 ms,138.234770298 ms,0.567714937488,2014-07-15 11:35,Russian Federation
13,213.59.5.6,404.476010799 ms,3.17302942276 ms,-0.402939872954,2014-07-15 11:35,Russian Federation
14,213.59.5.17,937.531983852 ms,533.055973053 ms,3.40519576096,2014-07-15 11:35,Russian Federation
15,213.59.5.18,936.572170258 ms,-0.959813594818 ms,-0.432641577744,2014-07-15 11:35,Russian Federation
16,85.28.192.173,932.444596291 ms,-4.12757396698 ms,-0.455407475944,2014-07-15 11:35,Russian Federation
17,85.28.192.90,938.281881809 ms,5.83728551865 ms,-0.38379253353,2014-07-15 11:35,Russian Federation
18,77.82.16.83,938.936829567 ms,0.654947757721 ms,-0.421036693456,2014-07-15 11:35,Russian Federation:Kamchatka
19,85.28.217.202,947.841417789 ms,8.9045882225 ms,-0.361748599361,2014-07-15 11:35,Russian Federation
