IP-Lugar RTT Relativo
192.168.1.1-* 3.89574468136 ms
190.245.25.1-ARG 11.4050298929 ms
200.89.165.13-ARG 1.37885808945 ms
200.89.165.2-ARG -0.575757026672 ms
200.89.165.86-ARG 3.10733318329 ms
195.22.220.174-Italy 2.16556787491 ms
89.221.34.255-Italy 249.614608288 ms
195.22.214.27-Italy -7.92317390442 ms
95.167.93.6-Russian 138.234770298 ms
213.59.5.6-Russian 3.17302942276 ms
213.59.5.17-Russian 533.055973053 ms
213.59.5.18-Russian -0.959813594818 ms
85.28.192.173-Russian -4.12757396698 ms
85.28.192.90-Russian 5.83728551865 ms
77.82.16.83-Russian 0.654947757721 ms
85.28.217.202-Russian 8.9045882225 ms
