TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,3.92243266106 ms,3.92243266106 ms,-0.156988637511,2014-07-15 11:29,*
2,190.245.25.1,14.4544005394 ms,10.5319678783 ms,-0.0683795333018,2014-07-15 11:29,Argentina
6,200.89.165.49,17.3185110092 ms,2.86411046982 ms,-0.171176773023,2014-07-15 11:29,Argentina
7,200.89.165.250,17.6531434059 ms,0.334632396698 ms,-0.205087597129,2014-07-15 11:29,Argentina
8,64.209.94.97,18.6506390572 ms,0.997495651245 ms,-0.196201084346,2014-07-15 11:29,United States
9,67.17.106.162,303.711605072 ms,285.060966015 ms,3.61202579094,2014-07-15 11:29,United States
10,64.208.27.102,138.994526863 ms,-164.717078209 ms,-2.41781265937,2014-07-15 11:29,United States
11,129.250.3.172,144.09160614 ms,5.09707927704 ms,-0.141241027281,2014-07-15 11:29,United States:Englewood
12,129.250.3.174,174.553048611 ms,30.4614424706 ms,0.198800053905,2014-07-15 11:29,United States:Englewood
13,129.250.2.168,182.045078278 ms,7.4920296669 ms,-0.109133715391,2014-07-15 11:29,United States:Englewood
14,129.250.2.230,185.058188438 ms,3.01311016083 ms,-0.169179245404,2014-07-15 11:29,United States:Englewood
15,204.1.253.166,184.148418903 ms,-0.909769535065 ms,-0.221770364801,2014-07-15 11:29,United States:Englewood
16,202.158.194.172,304.84919548 ms,120.700776577 ms,1.40857143673,2014-07-15 11:29,Australia
17,113.197.15.68,305.96446991 ms,1.11527442932 ms,-0.194622112198,2014-07-15 11:29,Australia
18,113.197.15.66,327.852737904 ms,21.8882679939 ms,0.0838659041302,2014-07-15 11:29,Australia
19,113.197.15.65,339.838087559 ms,11.9853496552 ms,-0.0488951288643,2014-07-15 11:29,Australia
20,202.158.193.146,339.18466568 ms,-0.653421878815 ms,-0.218333703154,2014-07-15 11:29,Australia
21,202.158.193.186,339.751029015 ms,0.566363334656 ms,-0.201980953446,2014-07-15 11:29,Australia
22,137.111.189.4,342.869663239 ms,3.11863422394 ms,-0.16776456307,2014-07-15 11:29,Australia
23,137.111.13.200,341.519153118 ms,-1.35051012039 ms,-0.227679044787,2014-07-15 11:29,Australia:Ryde
24,137.111.223.12,381.63330555 ms,40.1141524315 ms,0.328206729975,2014-07-15 11:29,Australia
25,137.111.223.158,343.915832043 ms,-37.7174735069 ms,-0.715223772604,2014-07-15 11:29,Australia
