IP-Lugar RTT Relativo
192.168.1.1-* 3.92243266106 ms
190.245.25.1-ARG 10.5319678783 ms
200.89.165.49-ARG 2.86411046982 ms
200.89.165.250-ARG 0.334632396698 ms
64.209.94.97-USA 0.997495651245 ms
67.17.106.162-USA 285.060966015 ms
64.208.27.102-USA -164.717078209 ms
129.250.3.172-USA 5.09707927704 ms
129.250.3.174-USA 30.4614424706 ms
129.250.2.168-USA 7.4920296669 ms
129.250.2.230-USA 3.01311016083 ms
204.1.253.166-USA -0.909769535065 ms
202.158.194.172-Australia 120.700776577 ms
113.197.15.68-Australia 1.11527442932 ms
113.197.15.66-Australia 21.8882679939 ms
113.197.15.65-Australia 11.9853496552 ms
202.158.193.146-Australia -0.653421878815 ms
202.158.193.186-Australia 0.566363334656 ms
137.111.189.4-Australia 3.11863422394 ms
137.111.13.200-Australia:Ryde -1.35051012039 ms
137.111.223.12-Australia 40.1141524315 ms
137.111.223.158-Australia -37.7174735069 ms
