IP RTT(prom) Desviacion Estandar
192.168.1.1 1.54423713684 ms 0.117139102366
190.245.25.1 23.6673355103 ms 10.7648707035
200.89.164.9 18.370950222 ms 6.10332976384
200.89.165.6 25.0235199928 ms 8.24188106383
200.89.165.150 19.3508267403 ms 6.89054886722
195.22.220.130 19.2337751389 ms 6.29820177568
195.22.214.1 309.558272362 ms 9.78711920483
195.22.214.27 320.834982395 ms 9.16464028708
95.167.93.73 356.013548374 ms 12.0396019043
92.50.241.118 472.29436636 ms 25.7385856881
92.47.151.161 416.570115089 ms 8.55935045451
92.47.144.220 423.40887785 ms 5.34861640045
92.47.144.241 449.230837822 ms 5.53464778354
92.47.144.222 409.93347168 ms 7.04609309313
212.154.158.10 425.195792142 ms 9.11159408078
212.154.158.3 448.334944248 ms 6.16362142715
