TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,4.09276783466 ms,4.09276783466 ms,-0.40164567614243346,2014-07-14 22:26,*
2,190.245.25.1,40.4574036598 ms,36.3646358252 ms,-0.16957636692760783,2014-07-14 22:26,Argentina
6,200.89.165.13,34.34227705 ms,-6.1151266098 ms,-0.4750513746584941,2014-07-14 22:26,Argentina
7,200.89.165.2,65.1411771774 ms,30.7989001274 ms,-0.2095999701178342,2014-07-14 22:26,Argentina
8,200.89.165.86,109.000182152 ms,43.8590049744 ms,-0.11568382274747024,2014-07-14 22:26,Argentina
9,195.22.220.174,82.8942418098 ms,-26.1059403419 ms,-0.6188067449646265,2014-07-14 22:26,Italy
10,89.221.34.255,300.520706177 ms,217.626464367 ms,1.133890397036675,2014-07-14 22:26,Italy
11,195.22.214.27,292.13514328 ms,-8.38556289673 ms,-0.4913782442676092,2014-07-14 22:26,Italy
12,95.167.93.6,449.580430984 ms,157.445287704 ms,0.7011232544587561,2014-07-14 22:26,Russian Federation
13,213.59.5.6,413.960599899 ms,-35.6198310852 ms,-0.6872218132646754,2014-07-14 22:26,Russian Federation
14,213.59.5.17,950.969684124 ms,537.009084225 ms,3.4305936429533395,2014-07-14 22:26,Russian Federation
15,213.59.5.18,956.076347828 ms,5.10666370392 ms,-0.39435467848267897,2014-07-14 22:26,Russian Federation
16,85.28.192.173,954.074466228 ms,-2.00188159943 ms,-0.44547273581218666,2014-07-14 22:26,Russian Federation
17,85.28.192.90,949.170184135 ms,-4.90428209305 ms,-0.46634410519857006,2014-07-14 22:26,Russian Federation
18,77.82.16.83,955.445873737 ms,6.2756896019 ms,-0.3859481296991383,2014-07-14 22:26,Russian Federation:Kamchatka
19,85.28.217.202,959.138429165 ms,3.69255542755 ms,-0.4045236321654454,2014-07-14 22:26,Russian Federation
