IP-Lugar RTT Relativo
192.168.1.1-* 4.09276783466 ms
190.245.25.1-ARG 36.3646358252 ms
200.89.165.13-ARG -6.1151266098 ms
200.89.165.2-ARG 30.7989001274 ms
200.89.165.86-ARG 43.8590049744 ms
195.22.220.174-Italy -26.1059403419 ms
89.221.34.255-Italy 217.626464367 ms
195.22.214.27-Italy -8.38556289673 ms
95.167.93.6-Russian 157.445287704 ms
213.59.5.6-Russian -35.6198310852 ms
213.59.5.17-Russian 537.009084225 ms
213.59.5.18-Russian 5.10666370392 ms
85.28.192.173-Russian -2.00188159943 ms
85.28.192.90-Russian -4.90428209305 ms
77.82.16.83-Russian 6.2756896019 ms
85.28.217.202-Russian 3.69255542755 ms
