IP-Lugar ZRTT
192.168.1.1-* -1.1768188849
190.245.25.1-ARG -1.08492973416
200.89.165.13-ARG -1.1003819387
200.89.165.2-ARG -1.0225567464
200.89.165.86-ARG -0.911730207713
195.22.220.174-Italy -0.977696843503
89.221.34.255-Italy -0.4277804059
195.22.214.27-Italy -0.448969735465
95.167.93.6-Russia -0.0511240415433
213.59.5.6-Russia -0.141131158441
213.59.5.17-Russia 1.21582753413
213.59.5.18-Russia 1.22873147171
85.28.192.173-Russia 1.22367295275
85.28.192.90-Russia 1.21128040966
77.82.16.83-Russia 1.22713833796
85.28.217.202-Russia 1.23646899052
