TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,4.50524161844 ms,4.50524161844 ms,-0.2816859003457402,2014-07-14 22:17,*
2,190.245.25.1,111.661064625 ms,107.155823006 ms,1.4383568281840526,2014-07-14 22:17,Argentina
6,200.89.165.49,46.1213350296 ms,-65.5397295952 ms,-1.4553796269426058,2014-07-14 22:17,Argentina
7,200.89.165.250,70.5515384674 ms,24.4302034378 ms,0.05218250283679886,2014-07-14 22:17,Argentina
8,64.209.94.97,106.063258648 ms,35.5117201805 ms,0.23786759138391753,2014-07-14 22:17,United States
9,67.17.106.162,233.08006525 ms,127.016806602 ms,1.7711531938156388,2014-07-14 22:17,United States
10,64.208.27.102,239.12910223 ms,6.04903697968 ms,-0.25581762030733124,2014-07-14 22:17,United States
11,129.250.3.172,241.938555241 ms,2.80945301056 ms,-0.3101010230336,2014-07-14 22:17,United States:Englewood
13,129.250.2.168,293.335330486 ms,51.3967752457 ms,0.5040421525784031,2014-07-14 22:17,United States:Englewood
14,129.250.2.230,294.001984596 ms,0.666654109955 ms,-0.3460063790273647,2014-07-14 22:17,United States:Englewood
15,204.1.253.166,273.278772831 ms,-20.7232117653 ms,-0.7044211367972472,2014-07-14 22:17,United States:Englewood
16,202.158.194.172,408.931684494 ms,135.652911663 ms,1.9158622593874055,2014-07-14 22:17,Australia
17,113.197.15.68,350.345873833 ms,-58.5858106613 ms,-1.3388577569701294,2014-07-14 22:17,Australia
18,113.197.15.66,457.67967701 ms,107.333803177 ms,1.441339115228246,2014-07-14 22:17,Australia
19,113.197.15.65,477.138209343 ms,19.4585323334 ms,-0.031124251164705886,2014-07-14 22:17,Australia
20,202.158.193.146,467.447268963 ms,-9.6909403801 ms,-0.5195612176543029,2014-07-14 22:17,Australia
21,202.158.193.186,453.81141901 ms,-13.6358499527 ms,-0.5856632594872633,2014-07-14 22:17,Australia
22,137.111.189.4,379.369139671 ms,-74.4422793388 ms,-1.6045533164129089,2014-07-14 22:17,Australia
23,137.111.13.200,440.604770184 ms,61.2356305122 ms,0.6689048472601429,2014-07-14 22:17,Australia:Ryde
24,137.111.223.12,489.401388168 ms,48.7966179848 ms,0.46047316807592487,2014-07-14 22:17,Australia
25,137.111.223.158,447.635984421 ms,-41.7654037476 ms,-1.0570101706073296,2014-07-14 22:17,Australia
