IP-Lugar RTT Relativo
192.168.1.1-* 4.50524161844 ms
190.245.25.1-ARG 107.155823006 ms
200.89.165.49-ARG -65.5397295952 ms
200.89.165.250-ARG 24.4302034378 ms
64.209.94.97-USA 35.5117201805 ms
67.17.106.162-USA 127.016806602 ms
64.208.27.102-USA 6.04903697968 ms
129.250.3.172-USA 2.80945301056 ms
129.250.2.168-USA 51.3967752457 ms
129.250.2.230-USA 0.666654109955 ms
204.1.253.166-USA -20.7232117653 ms
202.158.194.172-Australia 135.652911663 ms
113.197.15.68-Australia -58.5858106613 ms
113.197.15.66-Australia 107.333803177 ms
113.197.15.65-Australia 19.4585323334 ms
202.158.193.146-Australia -9.6909403801 ms
202.158.193.186-Australia -13.6358499527 ms
137.111.189.4-Australia -74.4422793388 ms
137.111.13.200-Australia:Ryde 61.2356305122 ms
137.111.223.12-Australia 48.7966179848 ms
137.111.223.158-Australia -41.7654037476 ms
